Dv	E1	E2	E3	E4	E5	E6	E7	E8
1.272272272272272249e-02	-5.406170594459883127e-02	-5.204519654736719514e-02	6.627899668073443384e-02	6.784773587455908417e-02	-6.784773587455908417e-02	-6.627899668073443384e-02	5.204519654736719514e-02	5.406170594459883127e-02
1.292792792792792772e-02	-5.394730929185860557e-02	-5.192731924110700892e-02	6.639017586790774139e-02	6.795517002608750246e-02	-6.795517002608750246e-02	-6.639017586790774139e-02	5.192731924110700892e-02	5.394730929185860557e-02
1.313313313313313295e-02	-5.383286856637557044e-02	-5.180939988759673126e-02	6.650128783331481219e-02	6.806253476282188297e-02	-6.806253476282188297e-02	-6.650128783331481219e-02	5.180939988759673126e-02	5.383286856637557044e-02
1.333833833833833818e-02	-5.371838392554372649e-02	-5.169143864279386602e-02	6.661233231970779822e-02	6.816982982667756097e-02	-6.816982982667756097e-02	-6.661233231970779822e-02	5.169143864279386602e-02	5.371838392554372649e-02
1.354354354354354341e-02	-5.360385552624006428e-02	-5.157343566212568148e-02	6.672330906865277245e-02	6.827705495841916716e-02	-6.827705495841916716e-02	-6.672330906865277245e-02	5.157343566212568148e-02	5.360385552624006428e-02
1.374874874874874864e-02	-5.348928352481283760e-02	-5.145539110050700859e-02	6.683421782054355109e-02	6.838420989762937496e-02	-6.838420989762937496e-02	-6.683421782054355109e-02	5.145539110050700859e-02	5.348928352481283760e-02
1.395395395395395387e-02	-5.337466807709102812e-02	-5.133730511232845184e-02	6.694505831456368239e-02	6.849129438271979453e-02	-6.849129438271979453e-02	-6.694505831456368239e-02	5.133730511232845184e-02	5.337466807709102812e-02
1.415915915915915910e-02	-5.326000933839405982e-02	-5.121917785147424296e-02	6.705583028869969986e-02	6.859830815090828260e-02	-6.859830815090828260e-02	-6.705583028869969986e-02	5.121917785147424296e-02	5.326000933839405982e-02
1.436436436436436433e-02	-5.314530746352022494e-02	-5.110100947131047955e-02	6.716653347972544041e-02	6.870525093823141860e-02	-6.870525093823141860e-02	-6.716653347972544041e-02	5.110100947131047955e-02	5.314530746352022494e-02
1.456956956956956956e-02	-5.303056260676419775e-02	-5.098280012470273598e-02	6.727716762318756982e-02	6.881212247951128125e-02	-6.881212247951128125e-02	-6.727716762318756982e-02	5.098280012470273598e-02	5.303056260676419775e-02
1.477477477477477479e-02	-5.291577492190742416e-02	-5.086454996400444073e-02	6.738773245341826701e-02	6.891892250836581524e-02	-6.891892250836581524e-02	-6.738773245341826701e-02	5.086454996400444073e-02	5.291577492190742416e-02
1.497997997997998001e-02	-5.280094456223217991e-02	-5.074625914107447344e-02	6.749822770349672707e-02	6.902565075718612719e-02	-6.902565075718612719e-02	-6.749822770349672707e-02	5.074625914107447344e-02	5.280094456223217991e-02
1.518518518518518524e-02	-5.268607168051369499e-02	-5.062792780726558389e-02	6.760865310526202598e-02	6.913230695714954466e-02	-6.913230695714954466e-02	-6.760865310526202598e-02	5.062792780726558389e-02	5.268607168051369499e-02
1.539039039039039047e-02	-5.257115642903457259e-02	-5.050955611344161433e-02	6.771900838929754973e-02	6.923889083818478285e-02	-6.923889083818478285e-02	-6.771900838929754973e-02	5.050955611344161433e-02	5.257115642903457259e-02
1.559559559559559570e-02	-5.245619895957414486e-02	-5.039114420996609889e-02	6.782929328492008636e-02	6.934540212898297751e-02	-6.934540212898297751e-02	-6.782929328492008636e-02	5.039114420996609889e-02	5.245619895957414486e-02
1.580080080080080093e-02	-5.234119942342688181e-02	-5.027269224671945813e-02	6.793950752017055561e-02	6.945184055697438408e-02	-6.945184055697438408e-02	-6.793950752017055561e-02	5.027269224671945813e-02	5.234119942342688181e-02
1.600600600600600443e-02	-5.222615797138981109e-02	-5.015420037308763318e-02	6.804965082181861635e-02	6.955820584834131182e-02	-6.955820584834131182e-02	-6.804965082181861635e-02	5.015420037308763318e-02	5.222615797138981109e-02
1.621121121121121139e-02	-5.211107475377427245e-02	-5.003566873797894721e-02	6.815972291533022032e-02	6.966449772798213869e-02	-6.966449772798213869e-02	-6.815972291533022032e-02	5.003566873797894721e-02	5.211107475377427245e-02
1.641641641641641489e-02	-5.199594992041037950e-02	-4.991709748981318362e-02	6.826972352487607754e-02	6.977071591952287155e-02	-6.977071591952287155e-02	-6.826972352487607754e-02	4.991709748981318362e-02	5.199594992041037950e-02
