# phi  e_band1  e_band2  e_band3  e_band4
5.689127266630841229e-01 -6.911729455196193028e-02 -5.054054116583925338e-02 4.899953763527522405e-02 7.110384596529963075e-02
5.720558908987917190e-01 -6.917031090919467662e-02 -5.048135832618015628e-02 4.894190858828659230e-02 7.115767628058256022e-02
5.751990551344994262e-01 -6.922330986203839576e-02 -5.042216513227799207e-02 4.888427055154662831e-02 7.121148624515684367e-02
5.783422193702070224e-01 -6.927629137755361710e-02 -5.036296160327877885e-02 4.882662354142568162e-02 7.126527581930344746e-02
5.814853836059147296e-01 -6.932925542272340425e-02 -5.030374775829817013e-02 4.876896757426912865e-02 7.131904496320551345e-02
5.846285478416223258e-01 -6.938220196445299415e-02 -5.024452361642142012e-02 4.871130266639740053e-02 7.137279363694785939e-02
5.877717120773299220e-01 -6.943513096956958897e-02 -5.018528919670361271e-02 4.865362883410608713e-02 7.142652180051672905e-02
5.909148763130376292e-01 -6.948804240482203687e-02 -5.012604451816957823e-02 4.859594609366602036e-02 7.148022941379938988e-02
5.940580405487452254e-01 -6.954093623688056836e-02 -5.006678959981419180e-02 4.853825446132331578e-02 7.153391643658377208e-02
5.972012047844529326e-01 -6.959381243233649095e-02 -5.000752446060220680e-02 4.848055395329944200e-02 7.158758282855806621e-02
6.003443690201605287e-01 -6.964667095770199490e-02 -4.994824911946859486e-02 4.842284458579129702e-02 7.164122854931041784e-02
6.034875332558682359e-01 -6.969951177940980624e-02 -4.988896359531844876e-02 4.836512637497129841e-02 7.169485355832855289e-02
6.066306974915758321e-01 -6.975233486381286763e-02 -4.982966790702714199e-02 4.830739933698739025e-02 7.174845781499934738e-02
6.097738617272835393e-01 -6.980514017718413011e-02 -4.977036207344038427e-02 4.824966348796320970e-02 7.180204127860850827e-02
6.129170259629911355e-01 -6.985792768571626177e-02 -4.971104611337440193e-02 4.819191884399804532e-02 7.185560390834021260e-02
6.160601901986988427e-01 -6.991069735552131459e-02 -4.965172004561582697e-02 4.813416542116696895e-02 7.190914566327666346e-02
6.192033544344064389e-01 -6.996344915263048858e-02 -4.959238388892197452e-02 4.807640323552091893e-02 7.196266650239778462e-02
6.223465186701140350e-01 -7.001618304299384032e-02 -4.953303766202087066e-02 4.801863230308670710e-02 7.201616638458081809e-02
6.254896829058217422e-01 -7.006889899247990827e-02 -4.947368138361123158e-02 4.796085263986711589e-02 7.206964526859990783e-02
6.286328471415293384e-01 -7.012159696687554622e-02 -4.941431507236272030e-02 4.790306426184100241e-02 7.212310311312578048e-02
6.317760113772370456e-01 -7.017427693188554860e-02 -4.935493874691590510e-02 4.784526718496329850e-02 7.217653987672532911e-02
6.349191756129446418e-01 -7.022693885313241458e-02 -4.929555242588237740e-02 4.778746142516512863e-02 7.222995551786118296e-02
6.380623398486523490e-01 -7.027958269615601494e-02 -4.923615612784478651e-02 4.772964699835382379e-02 7.228334999489141599e-02
6.412055040843599452e-01 -7.033220842641323134e-02 -4.917674987135712411e-02 4.767182392041306727e-02 7.233672326606908898e-02
6.443486683200676524e-01 -7.038481600927788684e-02 -4.911733367494446056e-02 4.761399220720288761e-02 7.239007528954186088e-02
6.474918325557752485e-01 -7.043740541004014921e-02 -4.905790755710335432e-02 4.755615187455974197e-02 7.244340602335162804e-02
6.506349967914829557e-01 -7.048997659390644765e-02 -4.899847153630176172e-02 4.749830293829661321e-02 7.249671542543412173e-02
6.537781610271905519e-01 -7.054252952599905646e-02 -4.893902563097913411e-02 4.744044541420303768e-02 7.255000345361845016e-02
6.569213252628982591e-01 -7.059506417135588685e-02 -4.887956985954653583e-02 4.738257931804518847e-02 7.260327006562679319e-02
6.600644894986058553e-01 -7.064758049493012615e-02 -4.882010424038672053e-02 4.732470466556594479e-02 7.265651521907394439e-02
6.632076537343134515e-01 -7.070007846158989084e-02 -4.876062879185415894e-02 4.726682147248491977e-02 7.270973887146693626e-02
6.663508179700211587e-01 -7.075255803611804617e-02 -4.870114353227524701e-02 4.720892975449858531e-02 7.276294098020461010e-02
6.694939822057287548e-01 -7.080501918321173427e-02 -4.864164847994818103e-02 4.715102952728029290e-02 7.281612150257722738e-02
6.726371464414364620e-01 -7.085746186748222153e-02 -4.858214365314329070e-02 4.709312080648034998e-02 7.286928039576603955e-02
6.757803106771440582e-01 -7.090988605345446838e-02 -4.852262907010285176e-02 4.703520360772608933e-02 7.292241761684294110e-02
6.789234749128517654e-01 -7.096229170556692112e-02 -4.846310474904141213e-02 4.697727794662191064e-02 7.297553312276994220e-02
6.820666391485593616e-01 -7.101467878817110946e-02 -4.840357070814565316e-02 4.691934383874937775e-02 7.302862687039886336e-02
6.852098033842670688e-01 -7.106704726553138285e-02 -4.834402696557466711e-02 4.686140129966725326e-02 7.308169881647091914e-02
6.883529676199746650e-01 -7.111939710182453578e-02 -4.828447353945985315e-02 4.680345034491158879e-02 7.313474891761617691e-02
6.914961318556823722e-01 -7.117172826113961348e-02 -4.822491044790515324e-02 4.674549098999574576e-02 7.318777713035327925e-02
6.946392960913899683e-01 -7.122404070747744009e-02 -4.816533770898701050e-02 4.668752325041052031e-02 7.324078341108895829e-02
6.977824603270975645e-01 -7.127633440475039661e-02 -4.810575534075454268e-02 4.662954714162412945e-02 7.329376771611757768e-02
